,Age Groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over
      Viet Nam,    1951 to 1955,65,0,0,15,20,35
      Viet Nam,    1956 to 1960,95,0,0,65,10,20
      Viet Nam,    1961 to 1965,70,0,0,20,35,15
      Viet Nam,    1966 to 1970,610,0,0,200,265,135
      Viet Nam,    1970 to 1975,4750,0,0,2535,1205,1010
      Viet Nam,    1976 to 1980,35580,0,0,27680,4950,2955
      Viet Nam,    1981 to 1985,34275,0,600,26765,3560,3350
      Viet Nam,    1986 to 1990,32095,0,2530,24915,2175,2475
      Viet Nam,    1991 to 1995,30950,255,3485,21700,2080,3435
      Viet Nam,    1996 to 2000,10845,725,1060,7485,575,995
      Viet Nam,    2001 to 2006,10530,1370,2145,5620,835,555
      Viet Nam,  Non-permanent residents,2100,105,675,1070,95,155
    Southern Asia,Total - Immigrant Status and Period of Immigration,741975,60730,82585,438240,85855,74560
    Southern Asia,  Non-immigrants,2195,800,380,810,75,130
    Southern Asia,  Immigrants,718495,57960,77795,424415,84670,73650
    Southern Asia,    Before 1915,0,0,0,0,0,0
    Southern Asia,    1916 to 1920,10,0,0,0,0,10
    Southern Asia,    1921 to 1925,10,0,0,0,0,10
    Southern Asia,    1926 to 1930,60,0,0,0,0,60
    Southern Asia,    1931 to 1935,55,0,0,0,0,55
    Southern Asia,    1936 to 1940,65,0,0,0,0,65
    Southern Asia,    1941 to 1945,100,0,0,0,20,80
    Southern Asia,    1946 to 1950,470,0,0,0,100,370
    Southern Asia,    1951 to 1955,1210,0,0,95,200,920
    Southern Asia,    1956 to 1960,2060,0,0,275,325,1455
    Southern Asia,    1961 to 1965,5175,0,0,990,1090,3095
    Southern Asia,    1966 to 1970,21010,0,0,5170,7745,8100
    Southern Asia,    1970 to 1975,44365,0,0,18305,18365,7700
    Southern Asia,    1976 to 1980,32265,0,0,21070,6350,4845
    Southern Asia,    1981 to 1985,32075,0,700,22570,3005,5800
    Southern Asia,    1986 to 1990,66475,0,4575,46350,6325,9225
    Southern Asia,    1991 to 1995,123245,2120,14050,80205,12440,14430
    Southern Asia,    1996 to 2000,165205,15560,23545,103455,13930,8715
    Southern Asia,    2001 to 2006,224640,40280,34925,125930,14780,8730
    Southern Asia,  Non-permanent residents,21285,1975,4410,13020,1110,775
      Bangladesh,Total - Immigrant Status and Period of Immigration,34845,3980,5000,23425,1590,850
      Bangladesh,  Non-immigrants,75,25,20,30,0,0
      Bangladesh,  Immigrants,33200,3795,4525,22480,1555,835
      Bangladesh,    Before 1915,0,0,0,0,0,0
      Bangladesh,    1916 to 1920,0,0,0,0,0,0
      Bangladesh,    1921 to 1925,0,0,0,0,0,0
      Bangladesh,    1926 to 1930,0,0,0,0,0,0
      Bangladesh,    1931 to 1935,0,0,0,0,0,0
      Bangladesh,    1936 to 1940,0,0,0,0,0,0
      Bangladesh,    1941 to 1945,10,0,0,0,10,0
      Bangladesh,    1946 to 1950,0,0,0,0,0,0
      Bangladesh,    1951 to 1955,15,0,0,0,0,15
      Bangladesh,    1956 to 1960,15,0,0,15,0,0
      Bangladesh,    1961 to 1965,55,0,0,15,20,25
      Bangladesh,    1966 to 1970,125,0,0,25,40,60
      Bangladesh,    1970 to 1975,500,0,0,270,175,55
      Bangladesh,    1976 to 1980,465,0,0,335,110,15
      Bangladesh,    1981 to 1985,765,0,60,560,110,35
      Bangladesh,    1986 to 1990,2390,0,205,1985,145,55
      Bangladesh,    1991 to 1995,5215,130,780,3915,245,135
      Bangladesh,    1996 to 2000,10135,1060,1520,6955,405,200
      Bangladesh,    2001 to 2006,13530,2610,1955,8410,315,240
      Bangladesh,  Non-permanent residents,1570,155,455,910,35,15
      Bhutan,Total - Immigrant Status and Period of Immigration,130,0,60,70,10,0
      Bhutan,  Non-immigrants,0,0,0,0,0,0
      Bhutan,  Immigrants,85,0,20,60,10,0
      Bhutan,    Before 1915,0,0,0,0,0,0
      Bhutan,    1916 to 1920,0,0,0,0,0,0
      Bhutan,    1921 to 1925,0,0,0,0,0,0
      Bhutan,    1926 to 1930,0,0,0,0,0,0
      Bhutan,    1931 to 1935,0,0,0,0,0,0
      Bhutan,    1936 to 1940,0,0,0,0,0,0
      Bhutan,    1941 to 1945,0,0,0,0,0,0
      Bhutan,    1946 to 1950,0,0,0,0,0,0
      Bhutan,    1951 to 1955,0,0,0,0,0,0
      Bhutan,    1956 to 1960,0,0,0,0,0,0
      Bhutan,    1961 to 1965,0,0,0,0,0,0
      Bhutan,    1966 to 1970,0,0,0,0,0,0
      Bhutan,    1970 to 1975,0,0,0,0,0,0
      Bhutan,    1976 to 1980,0,0,0,0,0,0
      Bhutan,    1981 to 1985,0,0,0,0,0,0
      Bhutan,    1986 to 1990,0,0,0,0,0,0
      Bhutan,    1991 to 1995,10,0,10,10,10,0
      Bhutan,    1996 to 2000,20,0,0,10,0,0
      Bhutan,    2001 to 2006,55,0,10,45,0,0
      Bhutan,  Non-permanent residents,45,0,35,10,0,0
      India,Total - Immigrant Status and Period of Immigration,455610,26295,39900,267010,64550,57855
      India,  Non-immigrants,1195,370,150,500,65,115
      India,  Immigrants,443100,25165,37350,259295,63875,57420
      India,    Before 1915,0,0,0,0,0,0
      India,    1916 to 1920,10,0,0,0,0,10
      India,    1921 to 1925,10,0,0,0,0,10
      India,    1926 to 1930,50,0,0,0,0,50
      India,    1931 to 1935,55,0,0,0,0,55
      India,    1936 to 1940,55,0,0,0,0,55
      India,    1941 to 1945,80,0,0,0,10,70
      India,    1946 to 1950,415,0,0,0,80,330
      India,    1951 to 1955,1090,0,0,70,180,840
      India,    1956 to 1960,1780,0,0,190,275,1320
      India,    1961 to 1965,4470,0,0,785,960,2720
      India,    1966 to 1970,18350,0,0,4355,6875,7115
      India,    1970 to 1975,37330,0,0,15010,15760,6560
      India,    1976 to 1980,26695,0,0,17330,5090,4280
      India,    1981 to 1985,24990,0,345,17660,1975,5010
      India,    1986 to 1990,41205,0,2385,28255,3565,7000
      India,    1991 to 1995,67755,790,4925,44465,7815,9765
      India,    1996 to 2000,89795,5480,10235,57885,10130,6065
      India,    2001 to 2006,128985,18895,19460,73285,11170,6175
      India,  Non-permanent residents,11315,765,2400,7220,605,325
      Maldives,Total - Immigrant Status and Period of Immigration,25,0,0,15,0,0
      Maldives,  Non-immigrants,0,0,0,0,0,0
      Maldives,  Immigrants,20,0,0,15,0,0
      Maldives,    Before 1915,0,0,0,0,0,0
      Maldives,    1916 to 1920,0,0,0,0,0,0
      Maldives,    1921 to 1925,0,0,0,0,0,0
      Maldives,    1926 to 1930,0,0,0,0,0,0
      Maldives,    1931 to 1935,0,0,0,0,0,0
      Maldives,    1936 to 1940,0,0,0,0,0,0
      Maldives,    1941 to 1945,0,0,0,0,0,0
      Maldives,    1946 to 1950,0,0,0,0,0,0
      Maldives,    1951 to 1955,0,0,0,0,0,0
      Maldives,    1956 to 1960,0,0,0,0,0,0
      Maldives,    1961 to 1965,0,0,0,0,0,0
      Maldives,    1966 to 1970,0,0,0,0,0,0
      Maldives,    1970 to 1975,0,0,0,0,0,0
      Maldives,    1976 to 1980,0,0,0,0,0,0
      Maldives,    1981 to 1985,0,0,0,0,0,0
      Maldives,    1986 to 1990,0,0,0,0,0,0
      Maldives,    1991 to 1995,0,0,0,0,0,0
      Maldives,    1996 to 2000,0,0,0,0,0,0
      Maldives,    2001 to 2006,20,0,0,15,0,0
      Maldives,  Non-permanent residents,0,0,0,0,0,0
      Nepal,Total - Immigrant Status and Period of Immigration,3640,560,710,2255,70,50
      Nepal,  Non-immigrants,10,0,0,10,0,0
      Nepal,  Immigrants,3305,540,630,2015,70,40
      Nepal,    Before 1915,0,0,0,0,0,0
      Nepal,    1916 to 1920,0,0,0,0,0,0
      Nepal,    1921 to 1925,0,0,0,0,0,0
      Nepal,    1926 to 1930,0,0,0,0,0,0
      Nepal,    1931 to 1935,0,0,0,0,0,0
      Nepal,    1936 to 1940,0,0,0,0,0,0
      Nepal,    1941 to 1945,0,0,0,0,0,0
      Nepal,    1946 to 1950,0,0,0,0,0,0
      Nepal,    1951 to 1955,0,0,0,0,0,0
      Nepal,    1956 to 1960,0,0,0,0,0,0
      Nepal,    1961 to 1965,10,0,0,0,0,10
      Nepal,    1966 to 1970,15,0,0,15,0,0
      Nepal,    1970 to 1975,15,0,0,0,15,0
      Nepal,    1976 to 1980,10,0,0,10,0,0
      Nepal,    1981 to 1985,10,0,0,10,0,0
      Nepal,    1986 to 1990,55,0,20,30,10,0
      Nepal,    1991 to 1995,170,10,20,125,10,0
      Nepal,    1996 to 2000,890,75,190,575,25,20
      Nepal,    2001 to 2006,2145,450,400,1260,15,20
      Nepal,  Non-permanent residents,335,20,80,230,0,10
      Pakistan,Total - Immigrant Status and Period of Immigration,138485,24015,21975,77615,8800,6085
      Pakistan,  Non-immigrants,615,265,175,150,0,15
      Pakistan,  Immigrants,133185,23065,20805,74805,8550,5965
      Pakistan,    Before 1915,0,0,0,0,0,0
      Pakistan,    1916 to 1920,0,0,0,0,0,0
      Pakistan,    1921 to 1925,0,0,0,0,0,0
      Pakistan,    1926 to 1930,0,0,0,0,0,0
      Pakistan,    1931 to 1935,10,0,0,0,0,10
      Pakistan,    1936 to 1940,0,0,0,0,0,0
      Pakistan,    1941 to 1945,15,0,0,0,0,15
      Pakistan,    1946 to 1950,30,0,0,0,15,15
      Pakistan,    1951 to 1955,70,0,0,20,0,50
      Pakistan,    1956 to 1960,140,0,0,25,25,90
      Pakistan,    1961 to 1965,480,0,0,155,85,245
      Pakistan,    1966 to 1970,1810,0,0,570,675,560
      Pakistan,    1970 to 1975,4810,0,0,2425,1725,660
      Pakistan,    1976 to 1980,4080,0,0,2955,785,340
      Pakistan,    1981 to 1985,2620,0,105,1800,320,395
      Pakistan,    1986 to 1990,5670,0,545,3915,500,710
      Pakistan,    1991 to 1995,14725,675,2705,8980,1240,1130
      Pakistan,    1996 to 2000,41110,6990,7965,24020,1450,675
      Pakistan,    2001 to 2006,57615,15395,9485,29945,1730,1060
      Pakistan,  Non-permanent residents,4680,685,995,2655,240,105
      Sri Lanka,Total - Immigrant Status and Period of Immigration,109235,5875,14940,67860,10840,9730
      Sri Lanka,  Non-immigrants,300,130,30,125,0,10
      Sri Lanka,  Immigrants,105595,5385,14470,65740,10610,9395
      Sri Lanka,    Before 1915,0,0,0,0,0,0
      Sri Lanka,    1916 to 1920,0,0,0,0,0,0
      Sri Lanka,    1921 to 1925,0,0,0,0,0,0
      Sri Lanka,    1926 to 1930,0,0,0,0,0,0
      Sri Lanka,    1931 to 1935,0,0,0,0,0,0
      Sri Lanka,    1936 to 1940,10,0,0,0,0,10
      Sri Lanka,    1941 to 1945,10,0,0,0,10,0
      Sri Lanka,    1946 to 1950,25,0,0,0,0,25
      Sri Lanka,    1951 to 1955,40,0,0,10,15,20
      Sri Lanka,    1956 to 1960,125,0,0,50,30,45
      Sri Lanka,    1961 to 1965,175,0,0,45,25,100
      Sri Lanka,    1966 to 1970,720,0,0,200,165,360
      Sri Lanka,    1970 to 1975,1715,0,0,600,690,420
      Sri Lanka,    1976 to 1980,1015,0,0,435,365,215
      Sri Lanka,    1981 to 1985,3690,0,185,2545,600,365
      Sri Lanka,    1986 to 1990,17155,0,1425,12160,2110,1460
      Sri Lanka,    1991 to 1995,35375,510,5615,22720,3125,3405
      Sri Lanka,    1996 to 2000,23260,1950,3630,14015,1920,1750
      Sri Lanka,    2001 to 2006,22295,2930,3615,12965,1560,1225
      Sri Lanka,  Non-permanent residents,3335,360,435,1990,225,325
  Oceania,Total - Immigrant Status and Period of Immigration,58980,3540,4805,34810,8980,6855
  Oceania,  Non-immigrants,1785,645,470,645,10,20
  Oceania,  Immigrants,52625,2230,3510,31230,8855,6800
  Oceania,    Before 1915,0,0,0,0,0,0
  Oceania,    1916 to 1920,0,0,0,0,0,0
  Oceania,    1921 to 1925,10,0,0,0,0,10
  Oceania,    1926 to 1930,55,0,0,0,0,55
  Oceania,    1931 to 1935,0,0,0,0,0,0
  Oceania,    1936 to 1940,15,0,0,0,0,15
  Oceania,    1941 to 1945,25,0,0,0,0,25
  Oceania,    1946 to 1950,340,0,0,0,95,245
  Oceania,    1951 to 1955,790,0,0,65,145,580
  Oceania,    1956 to 1960,1125,0,0,205,125,795
  Oceania,    1961 to 1965,2030,0,0,635,390,1000
  Oceania,    1966 to 1970,6115,0,0,2090,2650,1375
  Oceania,    1970 to 1975,7180,0,0,4140,2225,815
  Oceania,    1976 to 1980,5500,0,0,4005,1020,480
  Oceania,    1981 to 1985,3330,0,60,2715,275,285
  Oceania,    1986 to 1990,5815,0,805,4110,495,410
  Oceania,    1991 to 1995,7470,95,870,5225,815,465
  Oceania,    1996 to 2000,5015,625,685,3250,330,120
  Oceania,    2001 to 2006,7805,1505,1080,4795,285,130
  Oceania,  Non-permanent residents,4575,665,830,2940,115,30
    American Samoa,Total - Immigrant Status and Period of Immigration,15,0,0,10,0,10
    American Samoa,  Non-immigrants,0,0,0,0,0,0
    American Samoa,  Immigrants,10,0,0,10,0,10
    American Samoa,    Before 1915,0,0,0,0,0,0
    American Samoa,    1916 to 1920,0,0,0,0,0,0
    American Samoa,    1921 to 1925,0,0,0,0,0,0
    American Samoa,    1926 to 1930,0,0,0,0,0,0
    American Samoa,    1931 to 1935,0,0,0,0,0,0
    American Samoa,    1936 to 1940,0,0,0,0,0,0
    American Samoa,    1941 to 1945,0,0,0,0,0,0
    American Samoa,    1946 to 1950,0,0,0,0,0,0
    American Samoa,    1951 to 1955,0,0,0,0,0,0
    American Samoa,    1956 to 1960,0,0,0,0,0,0
    American Samoa,    1961 to 1965,0,0,0,0,0,0
    American Samoa,    1966 to 1970,0,0,0,0,0,0
    American Samoa,    1970 to 1975,0,0,0,0,0,0
    American Samoa,    1976 to 1980,0,0,0,0,0,0
    American Samoa,    1981 to 1985,0,0,0,0,0,0
    American Samoa,    1986 to 1990,0,0,0,0,0,0
    American Samoa,    1991 to 1995,0,0,0,0,0,0
    American Samoa,    1996 to 2000,10,0,0,0,0,10
    American Samoa,    2001 to 2006,10,0,0,10,0,0
    American Samoa,  Non-permanent residents,0,0,0,0,0,0
    Australia,Total - Immigrant Status and Period of Immigration,22425,2390,2170,12075,2910,2880
    Australia,  Non-immigrants,1120,490,260,350,0,20
    Australia,  Immigrants,18080,1410,1325,9675,2825,2840
    Australia,    Before 1915,0,0,0,0,0,0
    Australia,    1916 to 1920,0,0,0,0,0,0
    Australia,    1921 to 1925,0,0,0,0,0,0
    Australia,    1926 to 1930,35,0,0,0,0,35
    Australia,    1931 to 1935,0,0,0,0,0,0
    Australia,    1936 to 1940,10,0,0,0,0,10
    Australia,    1941 to 1945,15,0,0,0,0,15
    Australia,    1946 to 1950,200,0,0,0,40,160
    Australia,    1951 to 1955,540,0,0,45,85,405
    Australia,    1956 to 1960,730,0,0,120,60,550
    Australia,    1961 to 1965,1155,0,0,350,255,555
    Australia,    1966 to 1970,2945,0,0,1085,1135,725
    Australia,    1970 to 1975,2095,0,0,1245,680,170
    Australia,    1976 to 1980,1240,0,0,895,240,105
    Australia,    1981 to 1985,705,0,40,545,95,25
    Australia,    1986 to 1990,1155,0,320,750,65,20
    Australia,    1991 to 1995,1545,55,270,1110,65,45
    Australia,    1996 to 2000,1935,370,280,1210,65,15
    Australia,    2001 to 2006,3780,980,420,2315,45,25
    Australia,  Non-permanent residents,3220,490,585,2050,85,15
    Cook Islands,Total - Immigrant Status and Period of Immigration,0,0,0,0,0,0
    Cook Islands,  Non-immigrants,0,0,0,0,0,0
    Cook Islands,  Immigrants,0,0,0,0,0,0
    Cook Islands,    Before 1915,0,0,0,0,0,0
    Cook Islands,    1916 to 1920,0,0,0,0,0,0
    Cook Islands,    1921 to 1925,0,0,0,0,0,0
    Cook Islands,    1926 to 1930,0,0,0,0,0,0
    Cook Islands,    1931 to 1935,0,0,0,0,0,0
    Cook Islands,    1936 to 1940,0,0,0,0,0,0
    Cook Islands,    1941 to 1945,0,0,0,0,0,0
    Cook Islands,    1946 to 1950,0,0,0,0,0,0
    Cook Islands,    1951 to 1955,0,0,0,0,0,0
    Cook Islands,    1956 to 1960,0,0,0,0,0,0
    Cook Islands,    1961 to 1965,0,0,0,0,0,0
    Cook Islands,    1966 to 1970,0,0,0,0,0,0
    Cook Islands,    1970 to 1975,0,0,0,0,0,0
    Cook Islands,    1976 to 1980,0,0,0,0,0,0
    Cook Islands,    1981 to 1985,0,0,0,0,0,0
    Cook Islands,    1986 to 1990,0,0,0,0,0,0
    Cook Islands,    1991 to 1995,0,0,0,0,0,0
    Cook Islands,    1996 to 2000,0,0,0,0,0,0
    Cook Islands,    2001 to 2006,0,0,0,0,0,0
    Cook Islands,  Non-permanent residents,0,0,0,0,0,0
    Fiji,Total - Immigrant Status and Period of Immigration,24585,340,1695,16215,3850,2485
    Fiji,  Non-immigrants,20,10,0,10,0,0
    Fiji,  Immigrants,24375,310,1670,16085,3845,2470
    Fiji,    Before 1915,0,0,0,0,0,0
    Fiji,    1916 to 1920,0,0,0,0,0,0
    Fiji,    1921 to 1925,0,0,0,0,0,0
    Fiji,    1926 to 1930,0,0,0,0,0,0
    Fiji,    1931 to 1935,0,0,0,0,0,0
    Fiji,    1936 to 1940,0,0,0,0,0,0
    Fiji,    1941 to 1945,0,0,0,0,0,0
    Fiji,    1946 to 1950,0,0,0,0,0,0
    Fiji,    1951 to 1955,10,0,0,0,0,10
    Fiji,    1956 to 1960,30,0,0,10,15,10
    Fiji,    1961 to 1965,295,0,0,145,50,105
    Fiji,    1966 to 1970,1675,0,0,660,675,335
    Fiji,    1970 to 1975,4090,0,0,2435,1070,590
    Fiji,    1976 to 1980,2945,0,0,2250,440,255
    Fiji,    1981 to 1985,1985,0,20,1615,100,245
    Fiji,    1986 to 1990,3735,0,315,2675,390,350
    Fiji,    1991 to 1995,5020,15,465,3500,635,410
    Fiji,    1996 to 2000,2145,70,300,1445,255,80
    Fiji,    2001 to 2006,2450,230,565,1345,215,100
    Fiji,  Non-permanent residents,190,20,35,120,0,15
    French Polynesia,Total - Immigrant Status and Period of Immigration,110,15,15,60,0,25
    French Polynesia,  Non-immigrants,10,10,10,0,0,0
    French Polynesia,  Immigrants,90,15,0,45,0,25
    French Polynesia,    Before 1915,0,0,0,0,0,0
    French Polynesia,    1916 to 1920,0,0,0,0,0,0
    French Polynesia,    1921 to 1925,0,0,0,0,0,0
    French Polynesia,    1926 to 1930,0,0,0,0,0,0
    French Polynesia,    1931 to 1935,0,0,0,0,0,0
    French Polynesia,    1936 to 1940,0,0,0,0,0,0
    French Polynesia,    1941 to 1945,0,0,0,0,0,0
    French Polynesia,    1946 to 1950,0,0,0,0,0,0
    French Polynesia,    1951 to 1955,0,0,0,0,0,0
    French Polynesia,    1956 to 1960,0,0,0,0,0,0
    French Polynesia,    1961 to 1965,10,0,0,0,0,10
    French Polynesia,    1966 to 1970,0,0,0,0,0,0
    French Polynesia,    1970 to 1975,20,0,0,15,0,10
    French Polynesia,    1976 to 1980,15,0,0,15,0,0
    French Polynesia,    1981 to 1985,10,0,0,10,0,0
    French Polynesia,    1986 to 1990,0,0,0,0,0,0
    French Polynesia,    1991 to 1995,0,0,0,0,0,0
    French Polynesia,    1996 to 2000,25,10,0,10,0,10
    French Polynesia,    2001 to 2006,15,0,0,0,0,0
    French Polynesia,  Non-permanent residents,15,0,10,10,0,0
    Guam,Total - Immigrant Status and Period of Immigration,50,0,15,35,0,0
    Guam,  Non-immigrants,15,0,15,0,0,0
    Guam,  Immigrants,30,0,0,30,0,0
    Guam,    Before 1915,0,0,0,0,0,0
    Guam,    1916 to 1920,0,0,0,0,0,0
    Guam,    1921 to 1925,0,0,0,0,0,0
    Guam,    1926 to 1930,0,0,0,0,0,0
    Guam,    1931 to 1935,0,0,0,0,0,0
    Guam,    1936 to 1940,0,0,0,0,0,0
    Guam,    1941 to 1945,0,0,0,0,0,0
    Guam,    1946 to 1950,0,0,0,0,0,0
    Guam,    1951 to 1955,0,0,0,0,0,0
    Guam,    1956 to 1960,0,0,0,0,0,0
