,Age groups,Total - Age groups,  0 to 14 years,  15 to 24 years,  25 to 54 years,  55 to 64 years,  65 years and over,,,
      Thailand,    1941 to 1945,0,0,0,0,0,0,,,
      Thailand,    1946 to 1950,0,0,0,0,0,0,,,
      Thailand,    1951 to 1955,0,0,0,0,0,0,,,
      Thailand,    1956 to 1960,0,0,0,0,0,0,,,
      Thailand,    1961 to 1965,10,0,0,0,10,10,,,
      Thailand,    1966 to 1970,40,0,0,20,0,0,,,
      Thailand,    1971 to 1975,195,0,0,85,100,15,,,
      Thailand,    1976 to 1980,865,0,435,315,50,65,,,
      Thailand,    1981 to 1985,1610,0,1230,340,20,20,,,
      Thailand,    1986 to 1990,2470,515,1320,570,40,20,,,
      Thailand,    1991 to 1995,1525,500,410,585,20,10,,,
      Thailand,    1996 to 2001,1400,535,210,625,20,10,,,
      Thailand,  Non-permanent residents,610,45,290,270,0,0,,,
      Viet Nam,Total - Immigrant Status and Period of Immigration,150380,3240,18155,107620,10330,11035,,,
      Viet Nam,  Non-immigrants,475,95,35,270,40,35,,,
      Viet Nam,  Immigrants,148210,3085,17690,106320,10215,10895,,,
      Viet Nam,    Before 1915,0,0,0,0,0,0,,,
      Viet Nam,    1916 to 1920,0,0,0,0,0,0,,,
      Viet Nam,    1921 to 1925,0,0,0,0,0,0,,,
      Viet Nam,    1926 to 1930,0,0,0,0,0,0,,,
      Viet Nam,    1931 to 1935,0,0,0,0,0,0,,,
      Viet Nam,    1936 to 1940,0,0,0,0,0,0,,,
      Viet Nam,    1941 to 1945,15,0,0,0,0,10,,,
      Viet Nam,    1946 to 1950,20,0,0,10,10,0,,,
      Viet Nam,    1951 to 1955,45,0,0,15,0,35,,,
      Viet Nam,    1956 to 1960,55,0,0,20,10,25,,,
      Viet Nam,    1961 to 1965,110,0,0,45,25,40,,,
      Viet Nam,    1966 to 1970,590,0,0,250,225,115,,,
      Viet Nam,    1971 to 1975,4745,0,0,3390,845,505,,,
      Viet Nam,    1976 to 1980,35705,0,2535,28465,2670,2035,,,
      Viet Nam,    1981 to 1985,34690,0,3780,25760,2225,2925,,,
      Viet Nam,    1986 to 1990,30780,445,4340,22290,1520,2190,,,
      Viet Nam,    1991 to 1995,30385,1330,5165,19595,1830,2470,,,
      Viet Nam,    1996 to 2001,11065,1315,1875,6480,850,545,,,
      Viet Nam,  Non-permanent residents,1705,60,435,1025,75,105,,,
    Southern Asia,Total - Immigrant Status and Period of Immigration,521575,43510,58125,318075,55855,46010,,,
    Southern Asia,  Non-immigrants,1635,505,245,675,70,140,,,
    Southern Asia,  Immigrants,503220,40745,54930,307385,54975,45195,,,
    Southern Asia,    Before 1915,0,0,0,0,0,0,,,
    Southern Asia,    1916 to 1920,10,0,0,0,0,10,,,
    Southern Asia,    1921 to 1925,70,0,0,0,0,70,,,
    Southern Asia,    1926 to 1930,20,0,0,0,0,20,,,
    Southern Asia,    1931 to 1935,20,0,0,0,0,20,,,
    Southern Asia,    1936 to 1940,50,0,0,0,20,30,,,
    Southern Asia,    1941 to 1945,100,0,0,0,45,60,,,
    Southern Asia,    1946 to 1950,365,0,0,25,45,295,,,
    Southern Asia,    1951 to 1955,940,0,0,135,165,640,,,
    Southern Asia,    1956 to 1960,2270,0,0,450,495,1330,,,
    Southern Asia,    1961 to 1965,4935,0,0,1485,1580,1880,,,
    Southern Asia,    1966 to 1970,21605,0,0,8440,8790,4370,,,
    Southern Asia,    1971 to 1975,44060,0,0,28065,11835,4160,,,
    Southern Asia,    1976 to 1980,33090,0,645,24510,3465,4470,,,
    Southern Asia,    1981 to 1985,33560,0,1970,24240,2040,5310,,,
    Southern Asia,    1986 to 1990,67450,1395,6925,46000,5210,7930,,,
    Southern Asia,    1991 to 1995,122685,8815,16250,77565,11310,8750,,,
    Southern Asia,    1996 to 2001,171985,30535,29140,96475,9970,5865,,,
    Southern Asia,  Non-permanent residents,16715,2260,2950,10020,810,670,,,
      Bangladesh,Total - Immigrant Status and Period of Immigration,22555,3075,3570,14760,700,445,,,
      Bangladesh,  Non-immigrants,60,10,15,35,0,10,,,
      Bangladesh,  Immigrants,21575,2960,3330,14180,680,430,,,
      Bangladesh,    Before 1915,0,0,0,0,0,0,,,
      Bangladesh,    1916 to 1920,0,0,0,0,0,0,,,
      Bangladesh,    1921 to 1925,0,0,0,0,0,0,,,
      Bangladesh,    1926 to 1930,0,0,0,0,0,0,,,
      Bangladesh,    1931 to 1935,0,0,0,0,0,0,,,
      Bangladesh,    1936 to 1940,0,0,0,0,0,0,,,
      Bangladesh,    1941 to 1945,0,0,0,0,0,0,,,
      Bangladesh,    1946 to 1950,0,0,0,0,0,0,,,
      Bangladesh,    1951 to 1955,0,0,0,0,0,0,,,
      Bangladesh,    1956 to 1960,10,0,0,0,0,10,,,
      Bangladesh,    1961 to 1965,35,0,0,25,10,10,,,
      Bangladesh,    1966 to 1970,210,0,0,75,85,40,,,
      Bangladesh,    1971 to 1975,385,0,0,260,105,20,,,
      Bangladesh,    1976 to 1980,420,0,35,345,35,10,,,
      Bangladesh,    1981 to 1985,615,0,80,460,30,45,,,
      Bangladesh,    1986 to 1990,2340,80,295,1840,75,50,,,
      Bangladesh,    1991 to 1995,5865,630,1050,3945,115,130,,,
      Bangladesh,    1996 to 2001,11705,2250,1870,7230,225,125,,,
      Bangladesh,  Non-permanent residents,920,105,225,550,20,15,,,
      Bhutan,Total - Immigrant Status and Period of Immigration,35,10,0,20,0,0,,,
      Bhutan,  Non-immigrants,0,0,0,0,0,0,,,
      Bhutan,  Immigrants,35,10,0,20,0,0,,,
      Bhutan,    Before 1915,0,0,0,0,0,0,,,
      Bhutan,    1916 to 1920,0,0,0,0,0,0,,,
      Bhutan,    1921 to 1925,0,0,0,0,0,0,,,
      Bhutan,    1926 to 1930,0,0,0,0,0,0,,,
      Bhutan,    1931 to 1935,0,0,0,0,0,0,,,
      Bhutan,    1936 to 1940,0,0,0,0,0,0,,,
      Bhutan,    1941 to 1945,0,0,0,0,0,0,,,
      Bhutan,    1946 to 1950,0,0,0,0,0,0,,,
      Bhutan,    1951 to 1955,0,0,0,0,0,0,,,
      Bhutan,    1956 to 1960,0,0,0,0,0,0,,,
      Bhutan,    1961 to 1965,0,0,0,0,0,0,,,
      Bhutan,    1966 to 1970,0,0,0,0,0,0,,,
      Bhutan,    1971 to 1975,0,0,0,0,0,0,,,
      Bhutan,    1976 to 1980,0,0,0,0,0,0,,,
      Bhutan,    1981 to 1985,0,0,0,0,0,0,,,
      Bhutan,    1986 to 1990,0,0,0,0,0,0,,,
      Bhutan,    1991 to 1995,25,0,0,15,0,0,,,
      Bhutan,    1996 to 2001,10,0,0,0,0,0,,,
      Bhutan,  Non-permanent residents,0,0,0,0,0,0,,,
      India,Total - Immigrant Status and Period of Immigration,322570,16240,29915,197570,43100,35745,,,
      India,  Non-immigrants,935,245,110,405,50,125,,,
      India,  Immigrants,314235,15395,28550,192395,42630,35265,,,
      India,    Before 1915,0,0,0,0,0,0,,,
      India,    1916 to 1920,0,0,0,0,0,0,,,
      India,    1921 to 1925,65,0,0,0,0,65,,,
      India,    1926 to 1930,20,0,0,0,0,20,,,
      India,    1931 to 1935,20,0,0,0,0,20,,,
      India,    1936 to 1940,50,0,0,0,15,30,,,
      India,    1941 to 1945,100,0,0,0,45,60,,,
      India,    1946 to 1950,350,0,0,20,45,285,,,
      India,    1951 to 1955,765,0,0,105,155,510,,,
      India,    1956 to 1960,1995,0,0,370,465,1160,,,
      India,    1961 to 1965,4185,0,0,1195,1365,1625,,,
      India,    1966 to 1970,18685,0,0,7220,7605,3865,,,
      India,    1971 to 1975,36895,0,0,23255,10050,3600,,,
      India,    1976 to 1980,27105,0,435,19920,2730,4025,,,
      India,    1981 to 1985,26650,0,1295,19280,1465,4610,,,
      India,    1986 to 1990,41520,710,3380,27890,3505,6045,,,
      India,    1991 to 1995,64420,2845,7160,40930,7895,5580,,,
      India,    1996 to 2001,91420,11840,16275,52220,7295,3785,,,
      India,  Non-permanent residents,7400,600,1255,4770,425,355,,,
      Maldives,Total - Immigrant Status and Period of Immigration,15,10,0,10,0,0,,,
      Maldives,  Non-immigrants,0,0,0,0,0,0,,,
      Maldives,  Immigrants,10,0,0,10,0,0,,,
      Maldives,    Before 1915,0,0,0,0,0,0,,,
      Maldives,    1916 to 1920,0,0,0,0,0,0,,,
      Maldives,    1921 to 1925,0,0,0,0,0,0,,,
      Maldives,    1926 to 1930,0,0,0,0,0,0,,,
      Maldives,    1931 to 1935,0,0,0,0,0,0,,,
      Maldives,    1936 to 1940,0,0,0,0,0,0,,,
      Maldives,    1941 to 1945,0,0,0,0,0,0,,,
      Maldives,    1946 to 1950,0,0,0,0,0,0,,,
      Maldives,    1951 to 1955,0,0,0,0,0,0,,,
      Maldives,    1956 to 1960,0,0,0,0,0,0,,,
      Maldives,    1961 to 1965,0,0,0,0,0,0,,,
      Maldives,    1966 to 1970,0,0,0,0,0,0,,,
      Maldives,    1971 to 1975,0,0,0,0,0,0,,,
      Maldives,    1976 to 1980,0,0,0,0,0,0,,,
      Maldives,    1981 to 1985,0,0,0,0,0,0,,,
      Maldives,    1986 to 1990,10,0,0,10,0,0,,,
      Maldives,    1991 to 1995,0,0,0,0,0,0,,,
      Maldives,    1996 to 2001,0,0,0,0,0,0,,,
      Maldives,  Non-permanent residents,10,10,0,0,0,0,,,
      Nepal,Total - Immigrant Status and Period of Immigration,1145,165,240,700,30,10,,,
      Nepal,  Non-immigrants,10,0,10,0,0,0,,,
      Nepal,  Immigrants,945,145,155,610,30,10,,,
      Nepal,    Before 1915,0,0,0,0,0,0,,,
      Nepal,    1916 to 1920,0,0,0,0,0,0,,,
      Nepal,    1921 to 1925,0,0,0,0,0,0,,,
      Nepal,    1926 to 1930,0,0,0,0,0,0,,,
      Nepal,    1931 to 1935,0,0,0,0,0,0,,,
      Nepal,    1936 to 1940,0,0,0,0,0,0,,,
      Nepal,    1941 to 1945,0,0,0,0,0,0,,,
      Nepal,    1946 to 1950,0,0,0,0,0,0,,,
      Nepal,    1951 to 1955,0,0,0,0,0,0,,,
      Nepal,    1956 to 1960,0,0,0,0,0,0,,,
      Nepal,    1961 to 1965,10,0,0,0,10,0,,,
      Nepal,    1966 to 1970,10,0,0,0,10,10,,,
      Nepal,    1971 to 1975,10,0,0,10,0,0,,,
      Nepal,    1976 to 1980,15,0,0,15,0,0,,,
      Nepal,    1981 to 1985,15,0,0,15,0,0,,,
      Nepal,    1986 to 1990,90,0,10,75,10,0,,,
      Nepal,    1991 to 1995,160,20,30,105,10,0,,,
      Nepal,    1996 to 2001,645,125,120,390,0,0,,,
      Nepal,  Non-permanent residents,190,25,80,90,0,0,,,
      Pakistan,Total - Immigrant Status and Period of Immigration,83430,15495,11055,47950,5275,3655,,,
      Pakistan,  Non-immigrants,365,140,95,100,15,15,,,
      Pakistan,  Immigrants,79200,14540,10175,45790,5105,3595,,,
      Pakistan,    Before 1915,0,0,0,0,0,0,,,
      Pakistan,    1916 to 1920,10,0,0,0,0,10,,,
      Pakistan,    1921 to 1925,0,0,0,0,0,0,,,
      Pakistan,    1926 to 1930,0,0,0,0,0,0,,,
      Pakistan,    1931 to 1935,10,0,0,0,0,10,,,
      Pakistan,    1936 to 1940,10,0,0,0,0,0,,,
      Pakistan,    1941 to 1945,0,0,0,0,0,0,,,
      Pakistan,    1946 to 1950,15,0,0,0,0,15,,,
      Pakistan,    1951 to 1955,120,0,0,20,10,90,,,
      Pakistan,    1956 to 1960,175,0,0,45,25,105,,,
      Pakistan,    1961 to 1965,525,0,0,220,135,175,,,
      Pakistan,    1966 to 1970,2070,0,0,930,840,300,,,
      Pakistan,    1971 to 1975,5020,0,0,3600,1095,325,,,
      Pakistan,    1976 to 1980,4645,0,160,3600,535,350,,,
      Pakistan,    1981 to 1985,2680,0,175,1975,145,390,,,
      Pakistan,    1986 to 1990,6030,295,875,3910,420,535,,,
      Pakistan,    1991 to 1995,14895,1990,2530,8710,970,700,,,
      Pakistan,    1996 to 2001,43000,12260,6440,22780,925,595,,,
      Pakistan,  Non-permanent residents,3870,825,785,2060,155,45,,,
      Sri Lanka,Total - Immigrant Status and Period of Immigration,91840,8520,13350,57065,6740,6160,,,
      Sri Lanka,  Non-immigrants,270,115,15,135,0,0,,,
      Sri Lanka,  Immigrants,87225,7700,12715,54380,6525,5900,,,
      Sri Lanka,    Before 1915,0,0,0,0,0,0,,,
      Sri Lanka,    1916 to 1920,0,0,0,0,0,0,,,
      Sri Lanka,    1921 to 1925,0,0,0,0,0,0,,,
      Sri Lanka,    1926 to 1930,0,0,0,0,0,0,,,
      Sri Lanka,    1931 to 1935,0,0,0,0,0,0,,,
      Sri Lanka,    1936 to 1940,0,0,0,0,0,0,,,
      Sri Lanka,    1941 to 1945,0,0,0,0,0,0,,,
      Sri Lanka,    1946 to 1950,0,0,0,0,0,0,,,
      Sri Lanka,    1951 to 1955,55,0,0,10,0,40,,,
      Sri Lanka,    1956 to 1960,90,0,0,30,10,55,,,
      Sri Lanka,    1961 to 1965,185,0,0,55,60,70,,,
      Sri Lanka,    1966 to 1970,625,0,0,210,260,160,,,
      Sri Lanka,    1971 to 1975,1750,0,0,945,585,220,,,
      Sri Lanka,    1976 to 1980,910,0,10,635,175,90,,,
      Sri Lanka,    1981 to 1985,3595,0,420,2505,400,270,,,
      Sri Lanka,    1986 to 1990,17480,315,2370,12290,1200,1305,,,
      Sri Lanka,    1991 to 1995,37325,3320,5480,23855,2320,2350,,,
      Sri Lanka,    1996 to 2001,25210,4065,4435,13845,1520,1355,,,
      Sri Lanka,  Non-permanent residents,4345,705,615,2550,215,255,,,
  Oceania,Total - Immigrant Status and Period of Immigration,53750,3710,5340,32295,7505,4905,,,
  Oceania,  Non-immigrants,1860,745,475,610,10,15,,,
  Oceania,  Immigrants,47825,2165,4080,29320,7430,4835,,,
  Oceania,    Before 1915,0,0,0,0,0,0,,,
  Oceania,    1916 to 1920,0,0,0,0,0,0,,,
  Oceania,    1921 to 1925,10,0,0,0,0,10,,,
  Oceania,    1926 to 1930,35,0,0,0,0,35,,,
  Oceania,    1931 to 1935,15,0,0,0,0,15,,,
  Oceania,    1936 to 1940,15,0,0,0,0,15,,,
  Oceania,    1941 to 1945,30,0,0,0,15,15,,,
  Oceania,    1946 to 1950,565,0,0,90,75,400,,,
  Oceania,    1951 to 1955,910,0,0,180,75,655,,,
  Oceania,    1956 to 1960,1425,0,0,285,270,875,,,
  Oceania,    1961 to 1965,1765,0,0,630,790,345,,,
  Oceania,    1966 to 1970,6280,0,0,2975,2690,615,,,
  Oceania,    1971 to 1975,7420,0,0,5605,1400,415,,,
  Oceania,    1976 to 1980,5240,0,220,4165,465,395,,,
  Oceania,    1981 to 1985,3980,0,390,3000,255,340,,,
  Oceania,    1986 to 1990,5615,305,895,3685,480,250,,,
  Oceania,    1991 to 1995,8405,610,1485,5345,620,335,,,
  Oceania,    1996 to 2001,6100,1250,1080,3370,295,110,,,
  Oceania,  Non-permanent residents,4065,795,790,2360,65,55,,,
    American Samoa,Total - Immigrant Status and Period of Immigration,35,25,0,10,0,0,,,
    American Samoa,  Non-immigrants,15,15,0,0,0,0,,,
    American Samoa,  Immigrants,20,10,0,10,0,0,,,
    American Samoa,    Before 1915,0,0,0,0,0,0,,,
    American Samoa,    1916 to 1920,0,0,0,0,0,0,,,
    American Samoa,    1921 to 1925,0,0,0,0,0,0,,,
    American Samoa,    1926 to 1930,0,0,0,0,0,0,,,
    American Samoa,    1931 to 1935,0,0,0,0,0,0,,,
    American Samoa,    1936 to 1940,0,0,0,0,0,0,,,
    American Samoa,    1941 to 1945,0,0,0,0,0,0,,,
    American Samoa,    1946 to 1950,0,0,0,0,0,0,,,
    American Samoa,    1951 to 1955,0,0,0,0,0,0,,,
    American Samoa,    1956 to 1960,10,0,0,10,0,0,,,
    American Samoa,    1961 to 1965,0,0,0,0,0,0,,,
    American Samoa,    1966 to 1970,0,0,0,0,0,0,,,
    American Samoa,    1971 to 1975,0,0,0,0,0,0,,,
    American Samoa,    1976 to 1980,0,0,0,0,0,0,,,
    American Samoa,    1981 to 1985,0,0,0,0,0,0,,,
    American Samoa,    1986 to 1990,0,0,0,0,0,0,,,
    American Samoa,    1991 to 1995,0,0,0,0,0,0,,,
    American Samoa,    1996 to 2001,10,10,0,0,0,0,,,
    American Samoa,  Non-permanent residents,0,0,0,0,0,0,,,
    Australia,Total - Immigrant Status and Period of Immigration,19950,2390,1700,10875,2815,2170,,,
    Australia,  Non-immigrants,1240,555,270,405,0,0,,,
    Australia,  Immigrants,15975,1220,925,8915,2790,2120,,,
    Australia,    Before 1915,0,0,0,0,0,0,,,
    Australia,    1916 to 1920,0,0,0,0,0,0,,,
    Australia,    1921 to 1925,10,0,0,0,0,10,,,
    Australia,    1926 to 1930,20,0,0,0,0,20,,,
    Australia,    1931 to 1935,0,0,0,0,0,0,,,
    Australia,    1936 to 1940,10,0,0,0,0,10,,,
    Australia,    1941 to 1945,10,0,0,0,0,10,,,
    Australia,    1946 to 1950,360,0,0,75,45,240,,,
    Australia,    1951 to 1955,640,0,0,110,35,495,,,
    Australia,    1956 to 1960,1000,0,0,210,185,605,,,
    Australia,    1961 to 1965,1050,0,0,350,470,235,,,
    Australia,    1966 to 1970,3045,0,0,1390,1405,260,,,
    Australia,    1971 to 1975,2045,0,0,1610,355,80,,,
    Australia,    1976 to 1980,1340,0,60,1045,155,90,,,
    Australia,    1981 to 1985,710,0,140,510,55,10,,,
    Australia,    1986 to 1990,1260,190,275,760,25,20,,,
    Australia,    1991 to 1995,1920,265,230,1375,20,30,,,
    Australia,    1996 to 2001,2550,765,230,1490,45,20,,,
    Australia,  Non-permanent residents,2735,615,505,1555,20,45,,,
    Cook Islands,Total - Immigrant Status and Period of Immigration,10,0,0,10,0,0,,,
    Cook Islands,  Non-immigrants,0,0,0,0,0,0,,,
    Cook Islands,  Immigrants,10,0,0,10,0,0,,,
    Cook Islands,    Before 1915,0,0,0,0,0,0,,,
    Cook Islands,    1916 to 1920,0,0,0,0,0,0,,,
    Cook Islands,    1921 to 1925,0,0,0,0,0,0,,,
    Cook Islands,    1926 to 1930,0,0,0,0,0,0,,,
    Cook Islands,    1931 to 1935,0,0,0,0,0,0,,,
    Cook Islands,    1936 to 1940,0,0,0,0,0,0,,,
    Cook Islands,    1941 to 1945,0,0,0,0,0,0,,,
    Cook Islands,    1946 to 1950,0,0,0,0,0,0,,,
    Cook Islands,    1951 to 1955,0,0,0,0,0,0,,,
    Cook Islands,    1956 to 1960,0,0,0,0,0,0,,,
    Cook Islands,    1961 to 1965,0,0,0,0,0,0,,,
    Cook Islands,    1966 to 1970,0,0,0,0,0,0,,,
    Cook Islands,    1971 to 1975,0,0,0,0,0,0,,,
    Cook Islands,    1976 to 1980,10,0,0,10,0,0,,,
    Cook Islands,    1981 to 1985,0,0,0,0,0,0,,,
    Cook Islands,    1986 to 1990,0,0,0,0,0,0,,,
    Cook Islands,    1991 to 1995,10,0,0,10,0,0,,,
    Cook Islands,    1996 to 2001,0,0,0,0,0,0,,,
    Cook Islands,  Non-permanent residents,0,0,0,0,0,0,,,
    Fiji,Total - Immigrant Status and Period of Immigration,22775,485,2465,15155,3030,1640,,,
    Fiji,  Non-immigrants,30,15,0,10,10,0,,,
    Fiji,  Immigrants,22320,450,2355,14890,2995,1635,,,
    Fiji,    Before 1915,0,0,0,0,0,0,,,
    Fiji,    1916 to 1920,0,0,0,0,0,0,,,
    Fiji,    1921 to 1925,0,0,0,0,0,0,,,
    Fiji,    1926 to 1930,0,0,0,0,0,0,,,
    Fiji,    1931 to 1935,0,0,0,0,0,0,,,
    Fiji,    1936 to 1940,0,0,0,0,0,0,,,
    Fiji,    1941 to 1945,0,0,0,0,0,0,,,
    Fiji,    1946 to 1950,0,0,0,0,0,0,,,
    Fiji,    1951 to 1955,15,0,0,0,10,10,,,
    Fiji,    1956 to 1960,15,0,0,0,10,10,,,
    Fiji,    1961 to 1965,270,0,0,165,70,40,,,
    Fiji,    1966 to 1970,1630,0,0,960,525,145,,,
    Fiji,    1971 to 1975,4365,0,0,3200,880,290,,,
    Fiji,    1976 to 1980,2605,0,80,2105,165,255,,,
    Fiji,    1981 to 1985,2285,0,100,1770,115,305,,,
    Fiji,    1986 to 1990,3430,35,440,2325,425,205,,,
    Fiji,    1991 to 1995,5335,200,1040,3240,565,295,,,
    Fiji,    1996 to 2001,2360,215,705,1125,230,85,,,
    Fiji,  Non-permanent residents,430,25,110,260,25,10,,,
    French Polynesia,Total - Immigrant Status and Period of Immigration,150,30,20,45,55,10,,,
    French Polynesia,  Non-immigrants,0,0,0,0,0,0,,,
    French Polynesia,  Immigrants,140,25,15,40,55,10,,,
    French Polynesia,    Before 1915,0,0,0,0,0,0,,,
    French Polynesia,    1916 to 1920,0,0,0,0,0,0,,,
    French Polynesia,    1921 to 1925,0,0,0,0,0,0,,,
    French Polynesia,    1926 to 1930,0,0,0,0,0,0,,,
    French Polynesia,    1931 to 1935,0,0,0,0,0,0,,,
    French Polynesia,    1936 to 1940,0,0,0,0,0,0,,,
    French Polynesia,    1941 to 1945,0,0,0,0,0,0,,,
    French Polynesia,    1946 to 1950,10,0,0,0,0,10,,,
    French Polynesia,    1951 to 1955,0,0,0,0,0,0,,,
    French Polynesia,    1956 to 1960,0,0,0,0,0,0,,,
    French Polynesia,    1961 to 1965,0,0,0,0,0,0,,,
    French Polynesia,    1966 to 1970,15,0,0,0,15,0,,,
    French Polynesia,    1971 to 1975,10,0,0,0,10,0,,,
    French Polynesia,    1976 to 1980,10,0,0,0,10,0,,,
    French Polynesia,    1981 to 1985,60,0,0,25,20,0,,,
    French Polynesia,    1986 to 1990,0,0,0,0,0,0,,,
    French Polynesia,    1991 to 1995,0,0,0,0,0,0,,,
    French Polynesia,    1996 to 2001,40,20,0,15,0,0,,,
    French Polynesia,  Non-permanent residents,0,0,0,0,0,0,,,
    Guam,Total - Immigrant Status and Period of Immigration,60,35,15,20,0,0,,,
    Guam,  Non-immigrants,0,0,0,0,0,0,,,
    Guam,  Immigrants,60,35,15,20,0,0,,,
    Guam,    Before 1915,0,0,0,0,0,0,,,
    Guam,    1916 to 1920,0,0,0,0,0,0,,,
    Guam,    1921 to 1925,0,0,0,0,0,0,,,
    Guam,    1926 to 1930,0,0,0,0,0,0,,,
    Guam,    1931 to 1935,0,0,0,0,0,0,,,
    Guam,    1936 to 1940,0,0,0,0,0,0,,,
    Guam,    1941 to 1945,0,0,0,0,0,0,,,
    Guam,    1946 to 1950,0,0,0,0,0,0,,,
    Guam,    1951 to 1955,0,0,0,0,0,0,,,
    Guam,    1956 to 1960,0,0,0,0,0,0,,,
    Guam,    1961 to 1965,0,0,0,0,0,0,,,
